rotatablebondCount,acceptorCount,hydrogenCount,NHA,molecularpolarizability,aliphaticringCount,label
4,2,26,22,38.85,2,1
4,1,35,20,35.12,3,1
6,6,26,27,44.85,2,1
4,4,19,21,32.01,1,1
3,3,13,12,18.63,0,1
2,4,12,19,27.2,1,1
2,5,21,20,30.04,2,1
1,7,18,22,28.66,5,1
3,3,16,15,21.99,2,1
7,5,29,34,49.66,2,1
6,3,20,18,29.44,0,1
7,6,20,25,38.2,2,1
0,2,10,6,10.43,1,1
2,7,21,26,38.19,3,1
2,7,13,23,33.16,2,1
3,4,17,14,23.83,2,1
11,7,36,30,44.77,2,1
4,8,21,28,39.83,2,1
2,5,28,26,38.3,4,1
5,3,20,16,25.98,0,1
6,4,21,17,27.32,0,1
7,4,20,17,26.85,0,1
4,5,24,25,42.4,2,1
5,2,29,21,34.99,2,1
1,2,30,23,36.67,4,1
4,3,20,20,34.19,1,1
3,3,20,20,34.19,1,1
11,4,27,25,39.56,0,1
6,3,21,19,31.78,0,1
3,2,15,12,19.86,0,1
2,5,13,17,27.48,1,1
5,6,25,27,42.88,2,1
4,4,24,24,38.46,3,1
7,6,27,34,54.76,1,1
9,11,22,32,44.55,1,1
4,3,21,19,29.08,2,1
9,7,22,21,32.09,0,1
6,4,23,23,35.68,1,1
10,11,42,44,63.65,4,1
4,5,27,30,44.02,3,1
18,13,48,50,77.88,2,1
5,3,19,20,31.78,1,1
7,3,24,19,30.79,1,1
7,7,19,25,37.68,2,1
16,5,37,30,47.88,0,1
13,11,50,49,75.01,3,1
5,5,21,22,32.09,3,1
2,3,17,20,33.72,1,1
6,9,30,33,49.57,3,1
5,5,20,18,29.12,0,1
3,9,24,28,37.66,3,1
2,5,32,29,45.41,5,1
2,6,12,16,21.31,2,1
2,5,11,17,24.46,0,1
1,4,8,11,17.46,0,1
6,7,23,23,35.8,1,1
5,4,21,20,34.0,0,1
0,2,14,15,24.73,2,1
7,13,69,57,85.47,4,1
8,2,29,28,46.51,0,1
11,14,65,58,87.16,5,1
4,9,25,28,40.63,3,1
4,4,19,16,24.79,0,1
9,3,41,35,57.25,1,1
0,3,24,22,33.43,4,1
0,2,28,21,33.4,4,1
0,3,8,13,16.69,2,1
4,4,26,25,43.87,2,1
6,5,25,25,40.61,1,1
2,3,14,17,28.58,1,1
11,10,33,42,59.69,2,1
2,6,21,21,32.58,1,1
4,5,18,18,28.19,0,1
3,9,21,22,31.05,3,1
4,3,25,19,30.86,1,1
9,7,34,31,46.63,3,1
1,1,11,10,16.62,1,1
14,9,35,35,48.61,1,1
5,6,22,26,39.47,2,1
1,5,12,23,35.51,1,1
5,7,24,28,41.36,2,1
5,2,31,22,36.84,2,1
4,2,25,26,41.93,3,1
5,7,18,21,29.92,1,1
6,8,23,27,40.3,1,1
6,3,21,19,31.0,1,1
4,2,22,21,34.51,2,1
5,7,27,31,46.81,2,1
2,6,41,45,67.62,3,1
5,2,16,10,16.29,0,1
7,8,32,34,51.32,3,1
19,29,65,75,107.31,2,1
5,3,27,20,32.62,1,1
14,6,38,33,51.77,0,1
10,12,58,59,88.07,6,1
10,13,56,60,88.23,6,1
4,4,16,23,33.59,1,1
3,8,14,19,24.22,2,1
3,7,21,28,44.1,3,1
3,4,23,23,35.46,2,1
12,11,25,26,35.29,0,0
6,10,23,31,41.58,3,0
6,14,16,28,35.61,3,0
11,16,76,67,99.15,4,0
28,20,67,60,87.74,0,0
19,23,76,71,103.1,6,0
5,11,22,23,28.97,2,0
8,17,16,31,39.73,3,0
8,17,16,31,39.73,3,0
8,8,14,20,26.98,0,0
14,12,44,36,51.15,0,0
14,11,44,35,50.47,0,0
10,21,72,71,100.18,10,0
2,7,15,15,19.52,1,0
14,10,31,25,39.55,0,0
16,9,37,31,47.81,0,0
16,10,35,27,43.22,0,0
15,10,33,29,42.92,1,0
15,9,37,27,41.99,0,0
13,9,29,23,34.65,0,0
15,9,35,30,45.98,0,0
12,9,33,26,39.44,1,0
14,10,31,25,37.14,0,0
14,10,33,26,38.97,0,0
15,10,35,31,46.63,0,0
15,11,32,27,39.72,0,0
16,11,34,28,41.55,0,0
15,9,35,26,40.16,0,0
16,9,37,27,41.99,0,0
15,9,37,27,41.99,0,0
28,20,67,60,87.74,0,0
10,9,38,35,52.78,2,0
2,7,15,15,19.52,1,0
25,22,59,56,78.8,0,0
12,10,36,37,52.02,0,0
4,7,14,21,34.17,0,0
3,8,12,23,35.54,1,0
5,8,14,22,34.97,0,0
3,8,14,23,35.63,1,0
6,9,19,22,35.43,1,0
3,9,14,24,36.39,1,0
3,9,12,22,34.77,1,0
4,8,10,19,31.15,0,0
6,15,15,24,30.32,1,0
10,13,47,44,64.78,1,0
8,17,17,31,40.45,3,0
6,14,23,27,34.02,2,0
16,29,51,68,89.4,1,0
0,4,4,12,19.12,2,0
8,11,29,36,53.61,3,0
8,9,36,39,57.59,3,0
3,8,11,22,33.03,0,0
12,8,48,48,74.2,2,0
10,9,38,35,52.78,2,0
19,12,47,45,67.06,1,0
3,7,16,19,31.33,1,0
22,19,79,65,97.2,5,0
12,16,19,37,47.92,0,0
2,7,14,16,20.84,2,0
9,5,35,38,64.58,2,0
11,10,54,51,77.61,2,0
7,5,27,28,42.15,1,0
6,14,15,28,34.82,3,0
6,3,44,30,49.42,3,0
4,11,14,24,29.77,3,0
9,14,21,34,44.14,2,0
19,16,56,60,86.16,2,0
7,8,18,20,28.24,0,0
8,7,36,40,60.79,1,0
6,13,14,24,30.49,2,0
2,6,16,18,24.43,3,0
3,8,16,21,27.33,2,0
28,23,51,64,86.9,1,0
24,22,52,58,79.72,1,0
1,3,19,21,34.84,3,0
1,6,11,14,16.88,1,0
13,10,35,33,46.3,0,0
8,12,19,29,33.61,0,0
19,12,51,46,69.19,1,0
15,14,49,46,64.7,2,0
15,10,44,38,60.83,1,0
8,12,41,43,61.01,4,0
16,15,32,35,46.43,0,0
8,15,15,28,36.35,2,0
2,5,15,18,27.39,1,0
6,8,23,20,27.59,1,0
35,26,83,74,106.3,1,0
19,16,34,42,56.18,0,0
21,16,47,45,64.6,0,0
4,3,26,27,42.17,1,0
8,12,24,38,50.05,3,0
29,22,64,63,89.0,0,0
2,7,12,18,23.51,3,0
2,8,13,19,23.77,3,0
7,4,19,23,34.84,0,0
13,7,42,40,64.49,0,0
9,19,35,40,51.81,3,0
6,9,11,15,18.65,0,0
4,10,22,22,28.25,2,0
21,20,38,48,66.91,1,0
36,30,73,81,113.74,0,0
22,15,60,55,80.95,2,0
19,12,51,46,69.19,1,0
29,22,62,65,92.18,1,0
4,11,22,23,28.97,2,0
16,16,32,35,47.16,1,0
15,12,36,39,55.92,0,0
19,12,53,48,72.4,0,0
17,12,47,41,61.07,0,0
40,32,82,91,125.27,1,0
30,25,78,83,118.18,2,0
29,20,75,69,101.71,0,0
28,21,79,77,112.98,1,0
6,14,15,27,34.68,3,0
16,2,36,20,34.73,0,0
16,2,36,20,34.73,0,0
24,9,44,32,47.39,0,0
1,6,13,14,20.46,2,0
6,7,28,36,53.79,3,0
17,8,46,47,71.28,1,0
14,13,41,46,71.79,2,0
19,14,58,58,86.72,2,0
19,13,58,57,86.09,2,0
19,14,58,58,86.72,2,0
8,5,38,46,73.63,1,0
13,11,50,49,75.01,3,0
17,16,35,44,59.53,2,0
6,5,21,26,41.65,0,0
43,32,101,103,146.97,3,0
21,13,50,51,75.69,0,0
13,4,36,25,40.64,0,0
19,18,39,47,63.67,1,0
21,13,59,59,88.9,3,0
10,19,35,43,56.37,3,0
23,19,66,66,95.47,2,0
13,9,31,24,36.49,0,0
16,11,33,28,41.05,0,0
15,9,36,33,51.17,0,0
6,11,26,25,37.29,2,0
8,17,16,32,39.89,3,0
6,8,23,33,50.37,0,0
10,20,25,42,53.76,5,0
4,12,14,20,25.23,1,0
22,18,58,69,101.87,1,0
21,15,56,53,78.58,1,0
20,14,48,47,69.0,0,0
19,20,37,53,72.42,0,0
11,13,45,45,64.22,3,0
0,2,30,21,33.64,4,0
14,9,39,38,56.59,0,0
10,9,19,23,32.08,0,0
9,7,26,33,49.35,0,0
26,7,57,34,56.82,0,0
9,10,18,23,30.99,0,0
20,18,39,46,62.55,0,0
11,20,27,43,57.84,5,0
21,12,49,50,74.55,0,0
21,12,49,50,74.55,0,0
9,7,30,33,49.02,1,0
31,22,69,66,93.99,0,0
5,7,11,13,17.17,0,0
3,9,13,16,20.21,1,0
8,17,16,31,39.73,3,0
14,13,35,41,56.77,2,0
9,9,28,32,45.31,2,0
17,15,42,41,58.55,0,0
14,13,43,38,54.73,1,0
14,9,29,33,48.33,0,0
3,9,14,16,20.99,1,0
41,39,83,102,140.12,2,0
7,13,20,36,53.81,2,0
9,9,37,41,62.73,1,0
11,10,48,43,65.28,1,0
7,3,34,31,54.43,0,0
11,1,25,14,26.07,0,0
4,6,10,16,20.8,1,0
22,16,43,53,74.11,0,0
4,9,14,20,25.9,2,0
2,9,33,36,55.12,2,0
6,2,32,25,41.67,0,0
2,6,14,19,25.12,2,0
7,11,23,27,38.87,1,0
11,12,27,31,46.61,2,0
9,19,24,36,45.03,3,0
6,14,14,25,31.23,2,0
30,25,58,66,90.82,0,0
1,7,8,22,29.9,1,0
2,8,13,20,24.75,3,0
20,13,58,58,89.49,0,0
5,4,44,30,47.76,4,0
3,4,13,21,33.66,0,0
4,11,13,23,28.63,3,0
20,8,43,30,47.46,0,0
18,9,37,28,48.03,0,0
4,4,16,27,43.66,2,0
10,9,37,43,63.84,1,0
1,8,12,16,19.53,2,0
5,12,14,22,27.2,2,0
3,6,18,15,22.95,1,0
12,7,58,50,80.76,5,0
7,11,20,26,36.82,3,0
10,13,38,54,81.68,3,0
9,9,36,43,65.3,3,0
7,7,24,29,44.04,1,0
4,11,22,23,28.97,2,0
12,13,21,31,46.99,0,0
4,11,14,24,29.77,3,0
14,9,35,26,40.16,0,0
22,20,53,56,77.38,1,0
9,10,17,20,28.29,0,0
2,7,15,15,19.52,1,0
7,8,26,35,50.81,1,0
8,17,16,32,42.63,3,0
11,20,30,42,51.84,3,0
8,17,17,32,40.6,3,0
6,6,20,29,43.43,2,0
9,13,17,37,48.84,1,0
6,8,21,31,46.96,1,0
20,21,45,51,70.44,2,0
5,6,16,16,24.13,2,0
3,7,13,17,22.61,2,0
9,18,23,36,45.98,4,0
9,9,35,33,50.29,2,0
8,10,20,26,38.8,2,0
10,17,47,53,75.07,2,0
4,10,13,20,25.45,2,0
4,10,15,21,27.24,2,0
14,26,29,51,65.62,5,0
4,11,14,23,29.66,3,0
2,7,12,19,23.59,3,0
4,11,22,23,28.97,2,0
8,15,29,32,40.47,2,0
8,11,19,26,38.06,2,0
6,9,14,22,27.2,2,0
33,23,74,68,98.33,0,0
20,23,54,60,85.6,4,0
8,18,16,28,35.41,1,0
12,20,22,33,42.25,1,0
4,11,13,21,26.17,2,0
4,10,13,20,25.45,2,0
4,11,12,21,25.36,2,0
0,2,18,20,31.83,2,0
8,16,16,31,41.34,3,0
5,4,12,15,21.14,0,0
11,9,33,28,40.57,1,0
4,6,19,22,30.71,2,0
7,13,16,25,32.0,1,0
7,13,16,25,32.0,1,0
5,11,24,24,33.13,2,0
12,24,55,55,71.46,5,0
12,24,53,55,71.2,5,0
13,25,34,54,68.8,6,0
7,8,13,27,39.84,0,0
6,10,14,22,28.97,2,0
5,4,19,19,29.31,1,0
4,12,16,24,28.63,2,0
3,7,17,20,31.18,2,0
4,7,16,27,39.12,2,0
13,10,23,27,37.51,0,0
9,11,40,41,61.76,1,0
8,9,22,33,46.64,0,0
18,11,70,53,83.02,3,0
21,13,49,51,75.18,0,0
21,13,49,51,75.18,0,0
3,3,12,15,23.34,0,0
29,19,69,59,87.88,0,0
8,5,31,37,60.45,1,0
30,26,80,75,108.61,3,0
10,11,37,43,64.34,4,0
4,10,22,22,28.32,2,0
6,7,32,29,44.11,3,0
4,9,23,21,28.29,2,0
7,6,20,29,42.43,0,0
18,19,36,48,65.8,0,0
29,22,62,65,92.18,1,0
25,18,67,65,93.96,3,0
11,11,27,35,52.21,1,0
16,15,37,38,51.95,0,0
33,27,83,80,117.83,2,0
9,9,33,34,50.58,1,0
5,6,17,16,24.63,2,0
15,27,56,59,74.85,5,0
5,10,19,21,26.65,1,0
11,7,26,19,29.6,0,0
4,5,18,20,33.23,1,0
2,11,23,33,45.7,3,0
2,8,13,17,22.08,2,0
29,24,66,68,96.27,0,0
23,22,64,68,96.18,2,0
25,14,67,57,85.79,2,0
37,29,93,91,131.35,5,0
11,11,27,35,52.21,1,0
6,7,20,28,41.92,1,0
22,14,63,48,72.22,0,0
30,24,80,78,113.75,5,0
8,10,32,34,48.22,2,0
10,16,55,51,78.63,2,0
17,9,48,37,58.03,0,0
20,14,57,45,66.72,0,0
8,11,32,35,48.89,2,0
5,5,19,28,41.25,1,0
22,14,63,48,72.22,0,0
12,10,27,33,47.26,0,0
4,11,14,23,29.66,3,0
26,19,68,61,89.02,1,0
6,7,20,28,41.92,1,0
12,10,25,32,45.43,0,0
29,21,73,61,88.94,0,0
5,12,25,26,33.33,2,0
15,2,34,20,34.49,0,0
17,12,47,41,60.71,0,0
18,12,51,43,64.38,0,0
18,12,52,44,67.49,0,0
20,14,56,48,71.27,0,0
21,14,60,50,74.94,0,0
21,13,61,49,76.62,0,0
21,14,61,51,78.05,0,0
19,11,54,43,67.9,0,0
22,14,63,52,79.88,0,0
24,18,57,54,77.52,0,0
